BASE_DATE,ADM_CD,TOT_OA_CD,population,households,area_sqm,population_density,household_density
20250630,11240650,11240650010003,492,222.0,20269.145322251494,24273.34710851778,10952.607841648267
20250630,11240650,11240650010010,521,287.0,28013.196255723826,18598.37753764161,10245.171503460924
20250630,11240670,11240670011401,407,153.0,6334.972631395587,64246.528545828674,24151.64340911987
20250630,11240670,11240670010708,823,273.0,6372.036207971926,129158.08591457174,42843.447697057214
20250630,11240670,11240670010709,518,177.0,3678.6323344237344,140813.20254614297,48115.70820592144
20250630,11240670,11240670010004,508,216.0,16209.306297479661,31340.02101490225,13325.67822680883
20250630,11240670,11240670010701,568,185.0,5484.422360488823,103566.05721908233,33731.90243931379
20250630,11240670,11240670010012,618,264.0,13776.891790254287,44857.72331006987,19162.522579058976
20250630,11240650,11240650010601,592,206.0,11159.632448748698,53048.34211330853,18459.389316455334
20250630,11240670,11240670010010,563,230.0,17394.092614929945,32367.310699309368,13222.880037018036
20250630,11240650,11240650010013,491,198.0,53914.120826748396,9107.076077115595,3672.507257166778
20250630,11240650,11240650010009,424,170.0,15301.159472239771,27710.318343472256,11110.269147146895
20250630,11240670,11240670010703,353,114.0,3623.17740999408,97428.29567944806,31464.095488546962
20250630,11240670,11240670020403,553,191.0,12709.84862299111,43509.56619575049,15027.716353324311
20250630,11240670,11240670010011,333,133.0,66345.67054787325,5019.166996883636,2004.6522840406112
20250630,11240670,11240670020901,327,141.0,6785.613244030081,48190.191253191675,20779.256778899162
20250630,11240670,11240670010801,587,207.0,14766.5188933057,39752.090810388116,14018.198974021023
20250630,11240670,11240670010805,563,198.0,10605.451479433013,53085.90596937972,18669.643662410628
20250630,11240670,11240670010804,605,202.0,6056.721724811136,99889.0204120886,33351.37541031718
20250630,11240670,11240670010803,518,177.0,6582.465544788567,78693.91741975895,26889.62043107593
20250630,11240670,11240670010802,423,134.0,14589.951673167103,28992.55662223709,9184.403279857614
20250630,11240670,11240670010005,415,156.0,112292.20168208392,3695.715230296466,1389.232713075298
20250630,11240650,11240650010801,462,215.0,8011.9728560727835,57663.700102256444,26834.83879217562
20250630,11240650,11240650010202,399,135.0,7655.011455923693,52122.71755533965,17635.505939776573
20250630,11240650,11240650010203,305,106.0,5209.761178220544,58543.950397391614,20346.42210532299
20250630,11240650,11240650010005,498,233.0,18005.17904889292,27658.708566445523,12940.721076268688
20250630,11240650,11240650010020,415,206.0,41374.31572287289,10030.377366956096,4978.934307452906
20250630,11240650,11240650010201,518,193.0,10860.71677923179,47694.82627431517,17770.46616012129
20250630,11240650,11240650010011,497,228.0,42158.92373122279,11788.725992355518,5408.107698706354
20250630,11240650,11240650010702,834,288.0,8529.560393213991,97777.60652981831,33764.928873606324
20250630,11240620,11240620010704,604,206.0,8276.501743057639,72977.69259900629,24889.742840058432
20250630,11240650,11240650010701,601,204.0,8740.1854662052,68762.8428851798,23340.465804620097
20250630,11240670,11240670010007,429,227.0,31083.164660042537,13801.683473738445,7302.988691232232
20250630,11240650,11240650010012,497,224.0,19763.64367523895,25147.184808976835,11333.94244911632
20250630,11240650,11240650010008,457,246.0,17078.352534573936,26759.02134440868,14404.199673357845
20250630,11240670,11240670010003,318,155.0,15592.709798035869,20394.145989945686,9940.542856734532
20250630,11240650,11240650010002,519,216.0,11237.805325279747,46183.39479795894,19220.834829208346
